year,river,numSuitablePatches,numRejuvPatches,numPopPatches,numFertilePop,avgPatchAge,avgPopAge,populated,turned,turned_suitable,turned_unsuitable,sddEvents,lddEvents
9,20,46,12,18,11,28.195652173913043,10.333333333333334,1,3,2,1,2,6
10,1,53,10,24,16,32.60377358490566,13.416666666666666,1,4,3,1,4,4
10,2,58,19,26,19,22.810344827586206,9.615384615384615,1,5,2,3,3,8
10,3,60,14,20,15,28.0,14.4,1,4,2,2,1,4
10,4,51,15,27,17,25.686274509803923,11.185185185185185,1,0,0,0,3,8
10,5,60,11,19,17,25.65,12.736842105263158,1,5,2,3,0,6
10,6,55,11,12,10,29.8,14.583333333333334,1,2,2,0,2,3
10,7,55,11,24,17,26.254545454545454,8.833333333333334,1,0,0,0,4,4
10,8,49,15,27,19,18.428571428571427,9.37037037037037,1,6,4,2,3,4
10,9,52,11,21,17,26.673076923076923,15.476190476190476,1,3,1,2,3,5
10,10,57,11,20,16,25.75438596491228,13.2,1,6,5,1,3,9
10,11,50,10,25,17,30.54,15.96,1,7,3,4,3,8
10,12,55,11,29,24,26.345454545454544,10.0,1,3,1,2,3,6
10,13,54,8,23,21,29.574074074074073,13.217391304347826,1,2,2,0,3,6
10,14,55,10,30,22,26.181818181818183,9.766666666666667,1,2,1,1,3,5
10,15,47,5,14,12,33.5531914893617,15.0,1,4,3,1,0,2
10,16,58,15,29,22,28.913793103448278,15.517241379310345,1,8,3,5,2,5
10,17,46,9,14,13,29.73913043478261,14.928571428571429,1,4,3,1,1,3
10,18,48,14,16,13,24.625,12.875,1,4,1,3,2,4
10,19,52,10,23,20,29.365384615384617,13.434782608695652,1,4,3,1,4,2
10,20,47,12,18,14,28.53191489361702,11.11111111111111,1,5,2,3,2,6
11,1,55,13,24,18,32.21818181818182,13.916666666666666,1,10,8,2,6,7
11,2,57,21,26,20,21.736842105263158,9.615384615384615,1,4,2,2,5,5
11,3,60,15,22,17,27.933333333333334,13.954545454545455,1,5,2,3,1,5
11,4,51,13,28,21,26.686274509803923,11.607142857142858,1,5,3,2,4,6
11,5,59,11,22,17,25.10169491525424,11.045454545454545,1,2,1,1,2,5
11,6,57,9,12,10,29.75438596491228,15.416666666666666,1,7,4,3,0,0
11,7,55,6,24,18,27.254545454545454,9.541666666666666,1,5,3,2,2,5
11,8,51,14,26,21,18.58823529411765,10.461538461538462,1,4,1,3,4,4
11,9,51,10,22,16,26.745098039215687,15.5,1,1,1,0,3,3
11,10,61,14,22,14,24.885245901639344,12.409090909090908,1,8,3,5,5,4
11,11,49,11,22,16,28.632653061224488,12.0,1,4,3,1,5,10
11,12,54,10,29,24,27.166666666666668,10.758620689655173,1,3,2,1,2,9
11,13,56,7,24,19,29.517857142857142,13.458333333333334,1,4,2,2,3,2
11,14,55,11,31,25,26.163636363636364,10.32258064516129,1,9,5,4,2,5
11,15,49,8,14,12,32.93877551020408,15.428571428571429,1,5,3,2,1,3
11,16,56,12,29,24,29.571428571428573,16.24137931034483,1,4,3,1,3,9
11,17,48,11,16,13,27.979166666666668,14.125,1,2,2,0,0,4
11,18,46,12,15,11,25.08695652173913,13.866666666666667,1,5,3,2,2,6
11,19,54,10,23,20,29.11111111111111,14.304347826086957,1,7,3,4,0,2
11,20,46,11,17,13,28.434782608695652,12.294117647058824,1,2,2,0,3,2
12,1,61,20,28,18,29.60655737704918,12.464285714285714,1,5,1,4,1,7
12,2,57,20,27,19,22.473684210526315,9.777777777777779,1,4,1,3,4,6
12,3,59,13,22,16,28.220338983050848,14.545454545454545,1,1,0,1,1,2
12,4,52,13,31,23,26.78846153846154,11.419354838709678,1,3,1,2,3,7
12,5,59,11,24,19,25.0,11.083333333333334,1,2,0,2,0,2
12,6,58,10,11,11,28.948275862068964,17.636363636363637,1,4,1,3,1,1
12,7,56,7,24,19,26.839285714285715,10.291666666666666,1,6,4,2,2,4
12,8,49,12,25,21,19.244897959183675,11.16,1,4,4,0,5,7
12,9,52,8,22,17,27.23076923076923,16.181818181818183,1,3,2,1,2,5
12,10,59,14,23,16,24.23728813559322,12.391304347826088,1,8,6,2,4,4
12,11,51,11,25,17,27.352941176470587,11.44,1,4,3,1,2,7
12,12,55,10,32,25,27.145454545454545,10.21875,1,1,0,1,2,2
12,13,56,8,24,20,29.857142857142858,14.041666666666666,1,7,3,4,2,2
12,14,56,14,28,24,25.875,11.142857142857142,1,4,3,1,5,4
12,15,50,10,16,12,31.68,14.5,1,10,4,6,2,1
12,16,58,14,32,25,28.637931034482758,15.625,1,1,1,0,3,12
12,17,50,12,17,13,27.86,14.176470588235293,1,8,3,5,1,8
12,18,47,9,16,12,25.19148936170213,13.875,1,6,3,3,2,3
12,19,53,12,21,19,28.452830188679247,14.666666666666666,1,3,2,1,2,1
12,20,48,10,17,15,28.25,13.176470588235293,1,4,4,0,2,3
13,1,58,17,27,21,30.103448275862068,13.074074074074074,1,6,5,1,7,11
13,2,55,14,27,20,23.78181818181818,10.407407407407407,1,5,3,2,3,6
13,3,58,7,22,20,29.67241379310345,15.454545454545455,1,6,2,4,3,4
13,4,51,10,32,24,26.529411764705884,11.8125,1,4,2,2,2,6
13,5,57,9,25,23,26.228070175438596,11.64,1,5,2,3,1,4
13,6,56,10,13,11,30.303571428571427,16.076923076923077,1,4,1,3,1,2
13,7,58,10,26,21,25.948275862068964,10.461538461538462,1,6,1,5,0,4
13,8,53,13,29,23,18.79245283018868,10.689655172413794,1,5,1,4,1,4
13,9,53,9,23,19,27.49056603773585,16.391304347826086,1,2,2,0,2,1
13,10,63,17,24,19,22.80952380952381,12.75,1,4,2,2,3,6
13,11,53,13,26,21,27.245283018867923,11.846153846153847,1,2,2,0,3,4
13,12,54,7,31,29,28.59259259259259,11.419354838709678,1,7,4,3,1,1
13,13,55,8,24,21,29.87272727272727,14.875,1,3,1,2,2,3
13,14,58,14,31,25,25.810344827586206,11.0,1,3,2,1,3,2
13,15,48,11,15,12,29.875,14.2,1,4,3,1,1,1
